seed,n_clusters,alpha,theoretical,empirical
204,3,0.1,0.9,0.9035087719298246
204,3,0.2,0.8,0.8245614035087719
205,3,0.01,0.99,0.9824561403508771
205,3,0.05,0.95,0.9298245614035088
205,3,0.1,0.9,0.9035087719298246
205,3,0.2,0.8,0.8157894736842105
206,3,0.01,0.99,0.9912280701754386
206,3,0.05,0.95,0.9736842105263158
206,3,0.1,0.9,0.9122807017543859
206,3,0.2,0.8,0.8421052631578947
207,3,0.01,0.99,1.0
207,3,0.05,0.95,0.9736842105263158
207,3,0.1,0.9,0.956140350877193
207,3,0.2,0.8,0.8333333333333334
208,3,0.01,0.99,1.0
208,3,0.05,0.95,0.9736842105263158
208,3,0.1,0.9,0.956140350877193
208,3,0.2,0.8,0.8859649122807017
209,3,0.01,0.99,0.9912280701754386
209,3,0.05,0.95,0.956140350877193
209,3,0.1,0.9,0.8771929824561403
209,3,0.2,0.8,0.7982456140350878
210,3,0.01,0.99,0.9824561403508771
210,3,0.05,0.95,0.9298245614035088
210,3,0.1,0.9,0.9210526315789473
210,3,0.2,0.8,0.7894736842105263
211,3,0.01,0.99,1.0
211,3,0.05,0.95,0.9473684210526315
211,3,0.1,0.9,0.8947368421052632
211,3,0.2,0.8,0.8245614035087719
212,3,0.01,0.99,1.0
212,3,0.05,0.95,0.9824561403508771
212,3,0.1,0.9,0.9210526315789473
212,3,0.2,0.8,0.7631578947368421
213,3,0.01,0.99,1.0
213,3,0.05,0.95,0.9298245614035088
213,3,0.1,0.9,0.9122807017543859
213,3,0.2,0.8,0.7719298245614035
214,3,0.01,0.99,0.9912280701754386
214,3,0.05,0.95,0.9912280701754386
214,3,0.1,0.9,0.9473684210526315
214,3,0.2,0.8,0.868421052631579
215,3,0.01,0.99,0.9824561403508771
215,3,0.05,0.95,0.9122807017543859
215,3,0.1,0.9,0.8771929824561403
215,3,0.2,0.8,0.7368421052631579
216,3,0.01,0.99,0.956140350877193
216,3,0.05,0.95,0.8771929824561403
216,3,0.1,0.9,0.8157894736842105
216,3,0.2,0.8,0.7280701754385965
217,3,0.01,0.99,1.0
217,3,0.05,0.95,0.9385964912280702
217,3,0.1,0.9,0.9122807017543859
217,3,0.2,0.8,0.8070175438596491
218,3,0.01,0.99,0.9912280701754386
218,3,0.05,0.95,0.956140350877193
218,3,0.1,0.9,0.9473684210526315
218,3,0.2,0.8,0.8508771929824561
219,3,0.01,0.99,0.9912280701754386
219,3,0.05,0.95,0.9298245614035088
219,3,0.1,0.9,0.868421052631579
219,3,0.2,0.8,0.7894736842105263
220,3,0.01,0.99,0.9824561403508771
220,3,0.05,0.95,0.9473684210526315
220,3,0.1,0.9,0.9035087719298246
220,3,0.2,0.8,0.7982456140350878
221,3,0.01,0.99,0.9912280701754386
221,3,0.05,0.95,0.9736842105263158
221,3,0.1,0.9,0.9649122807017544
221,3,0.2,0.8,0.8421052631578947
222,3,0.01,0.99,1.0
222,3,0.05,0.95,0.9736842105263158
222,3,0.1,0.9,0.9122807017543859
222,3,0.2,0.8,0.7807017543859649
223,3,0.01,0.99,1.0
223,3,0.05,0.95,1.0
223,3,0.1,0.9,0.956140350877193
223,3,0.2,0.8,0.8333333333333334
224,3,0.01,0.99,0.9912280701754386
224,3,0.05,0.95,0.8859649122807017
224,3,0.1,0.9,0.8157894736842105
224,3,0.2,0.8,0.7982456140350878
225,3,0.01,0.99,1.0
225,3,0.05,0.95,0.9824561403508771
225,3,0.1,0.9,0.9210526315789473
225,3,0.2,0.8,0.7631578947368421
226,3,0.01,0.99,1.0
226,3,0.05,0.95,0.9912280701754386
226,3,0.1,0.9,0.9122807017543859
226,3,0.2,0.8,0.8421052631578947
227,3,0.01,0.99,1.0
227,3,0.05,0.95,0.9122807017543859
227,3,0.1,0.9,0.9122807017543859
227,3,0.2,0.8,0.7982456140350878
228,3,0.01,0.99,1.0
228,3,0.05,0.95,0.9824561403508771
228,3,0.1,0.9,0.8947368421052632
228,3,0.2,0.8,0.8157894736842105
229,3,0.01,0.99,1.0
229,3,0.05,0.95,0.9824561403508771
229,3,0.1,0.9,0.956140350877193
229,3,0.2,0.8,0.8859649122807017
230,3,0.01,0.99,0.9912280701754386
230,3,0.05,0.95,0.9824561403508771
