seed,alpha,theoretical,empirical
182,0.05,0.95,0.9824561403508771
182,0.1,0.9,0.9649122807017544
182,0.2,0.8,0.8421052631578947
182,0.5,0.5,0.49122807017543857
183,0.01,0.99,0.9824561403508771
183,0.05,0.95,0.9473684210526315
183,0.1,0.9,0.8947368421052632
183,0.2,0.8,0.8508771929824561
183,0.5,0.5,0.5350877192982456
184,0.01,0.99,1.0
184,0.05,0.95,0.9385964912280702
184,0.1,0.9,0.9035087719298246
184,0.2,0.8,0.8859649122807017
184,0.5,0.5,0.5789473684210527
185,0.01,0.99,0.9824561403508771
185,0.05,0.95,0.9210526315789473
185,0.1,0.9,0.8421052631578947
185,0.2,0.8,0.7543859649122807
185,0.5,0.5,0.5087719298245614
186,0.01,0.99,0.9824561403508771
186,0.05,0.95,0.9298245614035088
186,0.1,0.9,0.8596491228070176
186,0.2,0.8,0.7280701754385965
186,0.5,0.5,0.4298245614035088
187,0.01,0.99,1.0
187,0.05,0.95,0.9649122807017544
187,0.1,0.9,0.9210526315789473
187,0.2,0.8,0.8245614035087719
187,0.5,0.5,0.5087719298245614
188,0.01,0.99,1.0
188,0.05,0.95,0.8947368421052632
188,0.1,0.9,0.8070175438596491
188,0.2,0.8,0.6666666666666666
188,0.5,0.5,0.5
189,0.01,0.99,1.0
189,0.05,0.95,0.9385964912280702
189,0.1,0.9,0.9035087719298246
189,0.2,0.8,0.8508771929824561
189,0.5,0.5,0.5350877192982456
190,0.01,0.99,1.0
190,0.05,0.95,0.9298245614035088
190,0.1,0.9,0.8245614035087719
190,0.2,0.8,0.7017543859649122
190,0.5,0.5,0.41228070175438597
191,0.01,0.99,1.0
191,0.05,0.95,0.9649122807017544
191,0.1,0.9,0.9210526315789473
191,0.2,0.8,0.7807017543859649
191,0.5,0.5,0.5263157894736842
192,0.01,0.99,1.0
192,0.05,0.95,1.0
192,0.1,0.9,0.9473684210526315
192,0.2,0.8,0.9122807017543859
192,0.5,0.5,0.5175438596491229
193,0.01,0.99,1.0
193,0.05,0.95,0.9736842105263158
193,0.1,0.9,0.9035087719298246
193,0.2,0.8,0.7543859649122807
193,0.5,0.5,0.45614035087719296
194,0.01,0.99,1.0
194,0.05,0.95,0.8947368421052632
194,0.1,0.9,0.8421052631578947
194,0.2,0.8,0.7456140350877193
194,0.5,0.5,0.4649122807017544
195,0.01,0.99,1.0
195,0.05,0.95,0.9736842105263158
195,0.1,0.9,0.9035087719298246
195,0.2,0.8,0.8070175438596491
195,0.5,0.5,0.5
196,0.01,0.99,0.9912280701754386
196,0.05,0.95,0.9649122807017544
196,0.1,0.9,0.8596491228070176
196,0.2,0.8,0.7192982456140351
196,0.5,0.5,0.4298245614035088
197,0.01,0.99,1.0
197,0.05,0.95,0.956140350877193
197,0.1,0.9,0.8947368421052632
197,0.2,0.8,0.7894736842105263
197,0.5,0.5,0.4473684210526316
198,0.01,0.99,0.956140350877193
198,0.05,0.95,0.9210526315789473
198,0.1,0.9,0.8596491228070176
198,0.2,0.8,0.7807017543859649
198,0.5,0.5,0.5087719298245614
199,0.01,0.99,0.9824561403508771
199,0.05,0.95,0.9649122807017544
199,0.1,0.9,0.868421052631579
199,0.2,0.8,0.7719298245614035
199,0.5,0.5,0.43859649122807015
