name,def_file,def_line,src_usages,test_usages,pattern,scope
_MAX_LOGGED_ERRORS,calibrated_explanations\explanations\explanation.py,3634,2,0,Consistent (Internal Only),library
_parent,calibrated_explanations\explanations\explanation.py,656,2,0,Consistent (Internal Only),library
_exp_to_domain,calibrated_explanations\explanations\explanations.py,770,4,0,Consistent (Internal Only),library
_build_calibration_metadata,calibrated_explanations\explanations\explanations.py,823,1,0,Consistent (Internal Only),library
_build_model_metadata,calibrated_explanations\explanations\explanations.py,830,1,0,Consistent (Internal Only),library
_collection_metadata,calibrated_explanations\explanations\explanations.py,839,5,0,Consistent (Internal Only),library
_convert_to_alternative_explanations,calibrated_explanations\explanations\explanations.py,1157,1,0,Consistent (Internal Only),library
_preload_lime,external_plugins\integrations\lime_pipeline.py,75,2,0,Consistent (Internal Only),library
_first_explanation_for_instance,calibrated_explanations\explanations\explanations.py,2289,6,0,Consistent (Internal Only),library
_build_factual_plot_payload,calibrated_explanations\explanations\explanations.py,3289,1,0,Consistent (Internal Only),library
_feature_names_cache,calibrated_explanations\explanations\explanations.py,933,7,0,Consistent (Internal Only),library
_predictions_cache,calibrated_explanations\explanations\explanations.py,962,7,0,Consistent (Internal Only),library
